zpid,streetAddress,zipcode,city,state,latitude,longitude,price,dateSold,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,isUnmappable,isPreforeclosureAuction,priceForHDP,timeOnZillow,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,isShowcaseListing,listing_sub_type.is_FSBA,homeStatusForHDP,datePriceChanged,priceReduction,priceChange,isRentalWithBasePrice,contingentListingType,listing_sub_type.is_accepting_backup_offers,providerListingID,newConstructionType,listing_sub_type.is_newHome,videoCount,openHouse,listing_sub_type.is_openHouse,open_house_info.open_house_showing,unit,listing_sub_type.is_bankOwned,listing_sub_type.is_forAuction,rentalMarketingSubType
16541812,1626 La Paloma Ct,95618,Davis,CA,38.53789,-121.720764,893000.0,1660719600000,2.0,4.0,1791.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,946700.0,3300,False,False,893000.0,50294061000.0,True,False,False,USD,USA,893000.0,6534.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16542032,1770 Mariposa Cir,95618,Davis,CA,38.53581,-121.722046,1075000.0,1660719600000,3.0,5.0,2507.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,1134200.0,4231,False,False,1075000.0,50294061000.0,True,False,False,USD,USA,1075000.0,9897.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
63321309,2737 5th St,95618,Davis,CA,38.552414,-121.71872,825000.0,1660633200000,3.0,4.0,2029.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,867400.0,3499,False,False,825000.0,50380461000.0,True,False,False,USD,USA,825000.0,3920.4,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16540742,4501 San Ramon Dr,95618,Davis,CA,38.545727,-121.69631,1000000.0,1660546800000,3.0,4.0,2025.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,1134000.0,4337,False,False,1000000.0,50466861000.0,True,False,False,USD,USA,1000000.0,9827.136,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16541231,924 San Tomas St,95618,Davis,CA,38.543854,-121.708015,810000.0,1660201200000,2.0,3.0,1562.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,852100.0,3200,False,False,810000.0,50812461000.0,True,False,False,USD,USA,186587.0,5915.448,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16545835,1917 Arena Dr,95618,Davis,CA,38.564217,-121.70488,1300000.0,1659942000000,3.0,4.0,3300.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,1398500.0,5188,False,False,1300000.0,51071661000.0,True,False,False,USD,USA,1300000.0,8856.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
72558684,1818 Moore Blvd APT 252,95618,Davis,CA,38.57051,-121.73009,495000.0,1659682800000,2.0,2.0,942.0,CONDO,RECENTLY_SOLD,-1,False,False,509600.0,2299,False,False,495000.0,51330861000.0,True,False,False,USD,USA,490000.0,,,False,,RECENTLY_SOLD,,,,,,,,,,,,,,Apt 252,,,
16518666,1415 Banyan Pl,95618,Davis,CA,38.55913,-121.72406,740000.0,1659596400000,2.0,3.0,1234.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,755100.0,3099,False,False,740000.0,51417261000.0,True,False,False,USD,USA,740000.0,6987.024,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16540689,4324 Vista Way,95618,Davis,CA,38.546852,-121.69839,860000.0,1659596400000,2.0,4.0,2026.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,926500.0,3499,False,False,860000.0,51417261000.0,True,False,False,USD,USA,860000.0,7370.352,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16542061,2919 Albany Ave,95618,Davis,CA,38.54635,-121.7152,699000.0,1659510000000,2.0,3.0,1653.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,763800.0,3300,False,False,699000.0,51503661000.0,True,False,False,USD,USA,699000.0,6970.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
